,2019,2020,2018,Report,2016,2017
IncTxsExcl ImpctofSpec Itms,2005.0,,1099.0,Income Statement,14.0,2683.0
Normalized Income After Tax,1135.0,,3996.0,Income Statement,6887.0,865.0
Normalzd Inc Avail to Common,1048.0,,3862.0,Income Statement,6461.0,735.0
Basic Normalized EPS,1.41,,5.17,Income Statement,9.49,0.99
Diluted Normalized EPS,1.41,,5.17,Income Statement,9.36,0.99
Date,2019-12-31 00:00:00,,2018-12-31 00:00:00,Cash Flow,,2017-12-31 00:00:00
Net Income,-1272.0,,4775.0,Cash Flow,,595.0
Depreciation/Depletion,2938.0,,2909.0,Cash Flow,,2546.0
Deferred Taxes,-228.0,,-429.0,Cash Flow,,1413.0
Discontinued Operations,-228.0,,-677.0,Cash Flow,,-368.0
Unusual Items,3138.0,,183.0,Cash Flow,,2320.0
Equity in Net Earnings/Loss,1114.0,,108.0,Cash Flow,,253.0
Other Non-Cash Items,81.0,,-957.0,Cash Flow,,-189.0
Non-Cash Items,4105.0,,-1343.0,Cash Flow,,2016.0
Accounts Receivable,1253.0,,-855.0,Cash Flow,,-11431.0
Inventories,668.0,,-859.0,Cash Flow,,-891.0
Accounts Payable,-948.0,,787.0,Cash Flow,,1081.0
Changes in Working Capital,387.0,,-1658.0,Cash Flow,,-11499.0
Total Cash from Operations,5930.0,,4254.0,Cash Flow,,-4929.0
Capital Expenditures,-1970.0,,-2117.0,Cash Flow,,-2994.0
Acquisition of Business,0.0,,-20.0,Cash Flow,,
Sale of Business,,,,Cash Flow,,47.0
Sale of Fixed Assets,84.0,,47.0,Cash Flow,,522.0
Sale/Maturity of Investment,1252.0,,1214.0,Cash Flow,,1165.0
Purchase of Investments,-1613.0,,-1662.0,Cash Flow,,-1512.0
Other Investing Cash Flow,55.0,,343.0,Cash Flow,,10290.0
"OtherInvestCashFlowItms,Tot",-222.0,,-78.0,Cash Flow,,10512.0
Total Cash from Investing,-2192.0,,-2195.0,Cash Flow,,7518.0
Financing Cash Flow Items,1364.0,,-572.0,Cash Flow,,-230.0
Total Cash Dividends Paid,-2085.0,,-3711.0,Cash Flow,,-3235.0
Sale/Issuance of Common,93.0,,112.0,Cash Flow,,489.0
Repurch/Retirement Common,-500.0,,0.0,Cash Flow,,0.0
"Iss (Retirmnt) of Stock,Net",-407.0,,112.0,Cash Flow,,489.0
"Short Term Debt, Net",307.0,,-178.0,Cash Flow,,268.0
Long Term Debt Issued,2287.0,,1999.0,Cash Flow,,0.0
Long Term Debt Reduction,-5561.0,,-3054.0,Cash Flow,,-617.0
"Long Term Debt, Net",-3274.0,,-1055.0,Cash Flow,,-617.0
"Iss (Retirmnt) of Debt, Net",-2967.0,,-1233.0,Cash Flow,,-349.0
Total Cash From Financing,-4095.0,,-5404.0,Cash Flow,,-3325.0
Foreign Exchange Effects,-27.0,,-99.0,Cash Flow,,320.0
Net Change in Cash,-384.0,,-3444.0,Cash Flow,,-416.0
NetCash-BeginBal/RsvdforFutUse,2764.0,,6208.0,Cash Flow,,6624.0
NetCash-EndBal/RsrvforFutUse,2380.0,,2764.0,Cash Flow,,6208.0
"Depreciation, Supplemental",2938.0,,2909.0,Cash Flow,,2546.0
Free Cash Flow,3960.0,,2137.0,,,-7923.0
FCF Growth,,0.0,-0.4603535353535354,,0.0,-4.707533926064576
