,2017,2018,2019,2020,2016,Report,2015
Accumulated Depreciation,-1948.0,-2069.0,-2289.0,,-1692.0,Balance Sheet,
Prop./Plant/Equip. - Net,3872.0,3260.0,4055.0,,2620.0,Balance Sheet,
"Goodwill, Net",8930.0,7608.0,5598.0,,3718.0,Balance Sheet,
Intangibles - Gross,1821.0,1835.0,1850.0,,420.0,Balance Sheet,
Accum. Intangible Amort.,-487.0,-658.0,-763.0,,-246.0,Balance Sheet,
Intangibles - Net,1334.0,1177.0,1087.0,,174.0,Balance Sheet,
Long Term Investments,273.0,395.0,300.0,,235.0,Balance Sheet,
Other Long Term Assets,424.0,332.0,332.0,,441.0,Balance Sheet,
Total Assets,28264.0,24785.0,23519.0,,18679.0,Balance Sheet,
Accounts Payable,3959.0,2600.0,2660.0,,3838.0,Balance Sheet,
Accrued Expenses,1051.0,1129.0,1342.0,,751.0,Balance Sheet,
Notes Payable/ST Debt,0.0,0.0,0.0,,0.0,Balance Sheet,
Curr. Port. LT Dbt/Cap Ls.,77.0,67.0,495.0,,684.0,Balance Sheet,
Customer Advances,3314.0,4085.0,4585.0,,4142.0,Balance Sheet,
Income Taxes Payable,320.0,82.0,76.0,,318.0,Balance Sheet,
Discontinued Operations,14.0,16.0,9.0,,0.0,Balance Sheet,
Other Current Liabilities,1094.0,1160.0,972.0,,1158.0,Balance Sheet,
"Other Curr. Lblts, Total",4742.0,5343.0,5642.0,,5617.0,Balance Sheet,
Total Current Liabilities,9829.0,9139.0,10138.0,,10889.0,Balance Sheet,
Total Long Term Debt,3778.0,4124.0,3980.0,,1869.0,Balance Sheet,
Total Debt,3855.0,4192.0,4475.0,,2553.0,Balance Sheet,
Deferred Income Tax,420.0,209.0,138.0,,131.0,Balance Sheet,
Minority Interest,22.0,70.0,70.0,,-12.0,Balance Sheet,
Pension Benefits - Underfunded,282.0,299.0,369.0,,161.0,Balance Sheet,
Other LT Liabilities,545.0,585.0,1164.0,,586.0,Balance Sheet,
"Other Liabilities, Total",827.0,884.0,1533.0,,747.0,Balance Sheet,
Total Liabilities,14876.0,14427.0,15860.0,,13624.0,Balance Sheet,
Common Stock,465.0,451.0,447.0,,115.0,Balance Sheet,
Additional Paid-In Capital,10483.0,10197.0,10183.0,,2683.0,Balance Sheet,
Ret. Earn.(Accum. Deficit),3448.0,1072.0,-1563.0,,3404.0,Balance Sheet,
Treasury Stock - Common,-5.0,-2.0,0.0,,-45.0,Balance Sheet,
Unrealized Gain (Loss),28.0,,,,-127.0,Balance Sheet,
Cum. Trans. Adjustment,-1015.0,-1234.0,-1230.0,,-927.0,Balance Sheet,
Min. Pension Lblty Adj.,,-92.0,-172.0,,,Balance Sheet,
Other Comprehensive Income,-17.0,-33.0,-6.0,,-47.0,Balance Sheet,
"Other Equity, Total",-1032.0,-1360.0,-1408.0,,-975.0,Balance Sheet,
Total Equity,13388.0,10358.0,7659.0,,5056.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,28264.0,24785.0,23519.0,,18679.0,Balance Sheet,
Ttl Comm. Shares Outs.,465.0,451.0,447.0,,465.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,,0.0,Balance Sheet,
Date,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,2016-12-31 00:00:00,Income Statement,2015-12-31 00:00:00
Total Revenue,15057.0,12553.0,13409.0,,9200.0,Income Statement,11472.0
"Cost of Revenue, Total",12525.0,10278.0,10958.0,,7630.0,Income Statement,9975.0
"Sell/Gen/AdminExpenses,Tot",1061.0,1141.0,1228.0,,573.0,Income Statement,690.0
Research & Development,213.0,189.0,163.0,,105.0,Income Statement,96.0
"Inter/Invest Inc, Operating",0.0,-5.0,-7.0,,0.0,Income Statement,0.0
Impair-Assets Held for Use,192.0,1831.0,2491.0,,343.0,Income Statement,438.0
Other Unusual Expnse (In),102.0,37.0,103.0,,93.0,Income Statement,0.0
Unusual Expense (Income),293.0,1868.0,2594.0,,436.0,Income Statement,438.0
Total Operating Expense,14092.0,13471.0,14936.0,,8744.0,Income Statement,11198.0
Total Operating Income,965.0,-918.0,-1527.0,,456.0,Income Statement,274.0
"Inter Expse,Net Non-Operat",-162.0,-160.0,-145.0,,,Income Statement,-149.0
"Inter Income, Non-Operating",141.0,121.0,117.0,,85.0,Income Statement,78.0
"Invest Income, Non-Operat",167.0,73.0,18.0,,137.0,Income Statement,26.0
"Inter/Invest Inc, Non-Oper",307.0,194.0,134.0,,223.0,Income Statement,103.0
"Inter Inc(Exp),Net Non-Oper",,,,,-114.0,Income Statement,
"Other, Net",-431.0,-604.0,-599.0,,-13.0,Income Statement,-77.0
Income Before Tax,680.0,-1488.0,-2136.0,,551.0,Income Statement,151.0
Income Tax - Total,368.0,411.0,276.0,,180.0,Income Statement,137.0
Income After Tax,312.0,-1899.0,-2412.0,,371.0,Income Statement,14.0
Minority Interest,-21.0,-11.0,-3.0,,22.0,Income Statement,0.0
Net Inc Before Extra Items,291.0,-1910.0,-2415.0,,393.0,Income Statement,14.0
Total Extraordinary Items,-177.0,-12.0,,,,Income Statement,
Total Net Income,113.0,-1922.0,-2415.0,,393.0,Income Statement,14.0
Income Available to Common Excl. Extra. Items,291.0,-1910.0,-2415.0,,393.0,Income Statement,14.0
Income Available to Common Incl. Extra. Items,113.0,-1922.0,-2415.0,,393.0,Income Statement,14.0
Basic/Primary Weighted Average Shares,467.0,458.0,448.0,,119.0,Income Statement,115.0
Basic/Primary EPS Excl. Extra. Items,0.62,-4.17,-5.39,,3.29,Income Statement,0.13
Basic/Primary EPS Incl. Extra. Items,0.24,-4.2,-5.39,,3.29,Income Statement,0.13
Diluted Weighted Average Shares,468.0,458.0,448.0,,125.0,Income Statement,127.0
Diluted EPS Excl. Extra. Items,0.62,-4.17,-5.39,,3.14,Income Statement,0.11
Diluted EPS Incl. Extra. Items,0.24,-4.2,-5.39,,3.14,Income Statement,0.11
Div/Share-ComStockPrimIssue,0.13,0.52,0.52,,0.0,Income Statement,2.17
Gross Divid - Common Stock,61.0,238.0,233.0,,0.0,Income Statement,
Pro Forma Net Income,,,,,,Income Statement,
"Interest Expense, Suppl",162.0,160.0,145.0,,,Income Statement,149.0
"Depreciat/Amort, Suppl",370.0,368.0,384.0,,283.0,Income Statement,315.0
Total Special Items,293.0,1868.0,2594.0,,436.0,Income Statement,438.0
Normalzd Income Before Tax,973.0,380.0,458.0,,987.0,Income Statement,589.0
Efct/SpecItemsIncTxs (STEC),159.0,654.0,908.0,,142.0,Income Statement,153.0
IncTxsExcl ImpctofSpec Itms,527.0,1065.0,1184.0,,323.0,Income Statement,290.0
Normalized Income After Tax,446.0,-685.0,-726.0,,664.0,Income Statement,299.0
Normalzd Inc Avail to Common,425.0,-696.0,-729.0,,686.0,Income Statement,299.0
Basic Normalized EPS,0.91,-1.52,-1.63,,5.75,Income Statement,2.6
Diluted Normalized EPS,0.91,-1.52,-1.63,,5.49,Income Statement,2.35
Date,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,2016-12-31 00:00:00,Cash Flow,2015-12-31 00:00:00
Net Income,134.0,-1911.0,-2412.0,,371.0,Cash Flow,14.0
Depreciation/Depletion,370.0,368.0,384.0,,283.0,Cash Flow,315.0
Amortization,245.0,183.0,126.0,,18.0,Cash Flow,23.0
Deferred Taxes,142.0,49.0,-75.0,,-172.0,Cash Flow,-64.0
Unusual Items,-39.0,1895.0,2517.0,,-85.0,Cash Flow,15.0
Equity in Net Earnings/Loss,-38.0,-111.0,-59.0,,-48.0,Cash Flow,-26.0
Other Non-Cash Items,23.0,314.0,428.0,,189.0,Cash Flow,197.0
Non-Cash Items,-54.0,2099.0,2886.0,,56.0,Cash Flow,186.0
"Cash Taxes Pd, Supplemental",425.0,411.0,375.0,,261.0,Cash Flow,188.0
"Cash Interest Pd, Suppl",50.0,99.0,109.0,,40.0,Cash Flow,61.0
Accounts Receivable,287.0,-664.0,-40.0,,-269.0,Cash Flow,233.0
Inventories,131.0,-339.0,-170.0,,173.0,Cash Flow,-128.0
Accounts Payable,-526.0,-1249.0,26.0,,116.0,Cash Flow,126.0
Changes in Working Capital,-626.0,-973.0,-59.0,,-62.0,Cash Flow,226.0
Total Cash from Operations,211.0,-185.0,849.0,,494.0,Cash Flow,700.0
Capital Expenditures,-256.0,-368.0,-454.0,,-313.0,Cash Flow,-326.0
Acquisition of Business,,-105.0,,,,Cash Flow,
Sale of Business,1479.0,0.0,16.0,,0.0,Cash Flow,0.0
Sale of Fixed Assets,14.0,20.0,8.0,,39.0,Cash Flow,27.0
Sale/Maturity of Investment,,,19.0,,,Cash Flow,
Purchase of Investments,0.0,,-72.0,,-89.0,Cash Flow,0.0
Other Investing Cash Flow,12.0,-7.0,64.0,,3473.0,Cash Flow,-37.0
"OtherInvestCashFlowItms,Tot",1506.0,-92.0,35.0,,3423.0,Cash Flow,-10.0
Total Cash from Investing,1250.0,-460.0,-420.0,,3111.0,Cash Flow,-335.0
Financing Cash Flow Items,-202.0,-226.0,-563.0,,2.0,Cash Flow,98.0
Total Cash Dividends Paid,-61.0,-238.0,-233.0,,-112.0,Cash Flow,-99.0
"Iss (Retirmnt) of Stock,Net",-59.0,-443.0,-93.0,,-187.0,Cash Flow,0.0
"Short Term Debt, Net",129.0,462.0,8.0,,9.0,Cash Flow,61.0
"Long Term Debt, Net",26.0,0.0,96.0,,645.0,Cash Flow,32.0
Total Debt Reduction,-888.0,0.0,0.0,,-891.0,Cash Flow,-219.0
"Iss (Retirmnt) of Debt, Net",-734.0,462.0,104.0,,-238.0,Cash Flow,-127.0
Total Cash From Financing,-1055.0,-445.0,-784.0,,-535.0,Cash Flow,-127.0
Foreign Exchange Effects,62.0,-107.0,6.0,,22.0,Cash Flow,-321.0
Net Change in Cash,468.0,-1197.0,-350.0,,3091.0,Cash Flow,-83.0
NetCash-BeginBal/RsvdforFutUse,6269.0,6737.0,5540.0,,3178.0,Cash Flow,3261.0
NetCash-EndBal/RsrvforFutUse,6737.0,5540.0,5190.0,,6269.0,Cash Flow,3178.0
"Depreciation, Supplemental",370.0,368.0,384.0,,283.0,Cash Flow,315.0
Free Cash Flow,-45.0,-553.0,395.0,,181.0,,374.0
FCF Growth,,11.28888888888889,-1.7142857142857144,0.0,-0.5417721518987342,,1.0662983425414363
