,2020,2017,2018,2019,Report,2016
Other Current Liabilities,,107.0,125.0,146.0,Balance Sheet,
"Other Curr. Lblts, Total",,158.0,162.0,167.0,Balance Sheet,
Total Current Liabilities,,1190.0,1393.0,1341.0,Balance Sheet,
Total Long Term Debt,,250.0,250.0,250.0,Balance Sheet,
Total Debt,,250.0,250.0,250.0,Balance Sheet,
Deferred Income Tax,,92.0,82.0,87.0,Balance Sheet,
Minority Interest,,13.0,12.0,14.0,Balance Sheet,
Reserves,,236.0,170.0,125.0,Balance Sheet,
Pension Benefits - Underfunded,,59.0,55.0,64.0,Balance Sheet,
Other LT Liabilities,,68.0,168.0,146.0,Balance Sheet,
"Other Liabilities, Total",,363.0,393.0,335.0,Balance Sheet,
Total Liabilities,,1908.0,2130.0,2027.0,Balance Sheet,
Ret. Earn.(Accum. Deficit),,2584.0,2415.0,2419.0,Balance Sheet,
Cum. Trans. Adjustment,,446.0,282.0,338.0,Balance Sheet,
Min. Pension Lblty Adj.,,-36.0,-32.0,-43.0,Balance Sheet,
"Other Equity, Total",,410.0,250.0,295.0,Balance Sheet,
Total Equity,,2994.0,2665.0,2714.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,4902.0,4795.0,4741.0,Balance Sheet,
Ttl Comm. Shares Outs.,,109.0,109.0,109.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,0.0,0.0,0.0,Balance Sheet,
Date,,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,Income Statement,2016-12-31 00:00:00
Total Revenue,,6824.0,7442.0,7277.0,Income Statement,6661.0
"Cost of Revenue, Total",,5866.0,6549.0,6270.0,Income Statement,5602.0
"Sell/Gen/AdminExpenses,Tot",,361.0,288.0,346.0,Income Statement,396.0
Research & Development,,66.0,63.0,45.0,Income Statement,83.0
Depreciation/Amortization,,266.0,272.0,252.0,Income Statement,257.0
Unusual Expense (Income),,133.0,-104.0,87.0,Income Statement,67.0
Total Operating Expense,,6692.0,7068.0,7000.0,Income Statement,6405.0
Total Operating Income,,132.0,374.0,277.0,Income Statement,256.0
"Inter Expse, Non-Operating",,-176.0,-138.0,-127.0,Income Statement,-107.0
"Inter Capital, Non-Operat",,8.0,9.0,12.0,Income Statement,10.0
"Inter Expse,Net Non-Operat",,-168.0,-129.0,-115.0,Income Statement,-97.0
"Inter Income, Non-Operating",,10.0,13.0,13.0,Income Statement,6.0
"Invest Income, Non-Operat",,-1.0,-17.0,17.0,Income Statement,1.0
"Inter/Invest Inc, Non-Oper",,9.0,-4.0,30.0,Income Statement,7.0
Gain(Loss)on Sale of Assets,,267.0,-4.0,-2.0,Income Statement,-3.0
"Other, Net",,11.0,4.0,-13.0,Income Statement,5.0
Income Before Tax,,251.0,241.0,177.0,Income Statement,168.0
Income Tax - Total,,42.0,71.0,-48.0,Income Statement,13.0
Income After Tax,,209.0,170.0,225.0,Income Statement,155.0
Minority Interest,,0.0,0.0,0.0,Income Statement,0.0
Net Inc Before Extra Items,,209.0,170.0,225.0,Income Statement,155.0
Total Net Income,,209.0,170.0,225.0,Income Statement,155.0
Income Available to Common Excl. Extra. Items,,209.0,170.0,225.0,Income Statement,155.0
Income Available to Common Incl. Extra. Items,,209.0,170.0,225.0,Income Statement,155.0
Basic/Primary Weighted Average Shares,,109.0,109.0,109.0,Income Statement,109.0
Basic/Primary EPS Excl. Extra. Items,,1.92,1.57,2.06,Income Statement,1.43
Basic/Primary EPS Incl. Extra. Items,,1.92,1.57,2.06,Income Statement,1.43
Diluted Weighted Average Shares,,109.0,109.0,109.0,Income Statement,109.0
Diluted EPS Excl. Extra. Items,,1.92,1.57,2.06,Income Statement,1.43
Diluted EPS Incl. Extra. Items,,1.92,1.57,2.06,Income Statement,1.43
Div/Share-ComStockPrimIssue,,0.0,0.0,0.0,Income Statement,0.0
Gross Divid - Common Stock,,0.0,0.0,0.0,Income Statement,
Pro Forma Net Income,,,,,Income Statement,
"Interest Expense, Suppl",,168.0,129.0,115.0,Income Statement,97.0
"Interest Capitalized, Suppl",,-8.0,-9.0,-12.0,Income Statement,-10.0
"Depreciat/Amort, Suppl",,250.0,254.0,242.0,Income Statement,242.0
Total Special Items,,-134.0,-100.0,89.0,Income Statement,70.0
Normalzd Income Before Tax,,117.0,141.0,266.0,Income Statement,238.0
Efct/SpecItemsIncTxs (STEC),,-22.0,-29.0,31.0,Income Statement,5.0
IncTxsExcl ImpctofSpec Itms,,20.0,42.0,-17.0,Income Statement,18.0
Normalized Income After Tax,,97.0,99.0,283.0,Income Statement,220.0
Normalzd Inc Avail to Common,,97.0,99.0,283.0,Income Statement,220.0
Basic Normalized EPS,,0.9,0.92,2.59,Income Statement,2.02
Diluted Normalized EPS,,0.9,0.92,2.59,Income Statement,2.02
Date,,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,Cash Flow,2016-12-31 00:00:00
Net Income,,209.0,170.0,225.0,Cash Flow,155.0
Depreciation/Depletion,,266.0,272.0,252.0,Cash Flow,257.0
Deferred Taxes,,29.0,-4.0,-67.0,Cash Flow,-31.0
Unusual Items,,-134.0,-100.0,89.0,Cash Flow,70.0
Other Non-Cash Items,,33.0,28.0,53.0,Cash Flow,38.0
Non-Cash Items,,-101.0,-72.0,142.0,Cash Flow,108.0
"Cash Taxes Pd, Supplemental",,37.0,24.0,29.0,Cash Flow,10.0
"Cash Interest Pd, Suppl",,146.0,120.0,107.0,Cash Flow,88.0
Accounts Receivable,,-32.0,-24.0,2.0,Cash Flow,-7.0
Inventories,,-137.0,-51.0,-5.0,Cash Flow,-25.0
Prepaid Expenses,,-4.0,24.0,10.0,Cash Flow,-8.0
Other Assets,,-14.0,-2.0,5.0,Cash Flow,-19.0
Accounts Payable,,71.0,247.0,-100.0,Cash Flow,190.0
Accrued Expenses,,-51.0,-38.0,-67.0,Cash Flow,-21.0
Changes in Working Capital,,-221.0,137.0,-95.0,Cash Flow,129.0
Total Cash from Operations,,182.0,503.0,457.0,Cash Flow,618.0
Capital Expenditures,,-241.0,-317.0,-201.0,Cash Flow,-350.0
Acquisition of Business,,-9.0,,,Cash Flow,
Sale of Business,,,307.0,31.0,Cash Flow,0.0
"OtherInvestCashFlowItms,Tot",,-9.0,307.0,31.0,Cash Flow,0.0
Total Cash from Investing,,-250.0,-10.0,-170.0,Cash Flow,-350.0
Total Cash From Financing,,136.0,-536.0,-295.0,Cash Flow,-278.0
Foreign Exchange Effects,,4.0,-2.0,-1.0,Cash Flow,-3.0
Net Change in Cash,,72.0,-45.0,-9.0,Cash Flow,-13.0
NetCash-BeginBal/RsvdforFutUse,,54.0,126.0,81.0,Cash Flow,67.0
NetCash-EndBal/RsrvforFutUse,,126.0,81.0,72.0,Cash Flow,54.0
"Depreciation, Supplemental",,266.0,272.0,252.0,Cash Flow,257.0
Free Cash Flow,,-59.0,186.0,256.0,,268.0
FCF Growth,,,-4.152542372881356,0.3763440860215055,,0.046875
