,2015,2016,2017,2018,2019,2020,2014,Report
Trsy. Shrs-Comm. Primary Iss.,168.0,171.0,170.0,170.0,,,163.0,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,,Income Statement
Gross Premiums Written,7250.0,7544.0,7477.0,7702.0,8262.0,,,Income Statement
Other Insurance Revenue,561.0,530.0,462.0,491.0,503.0,,,Income Statement
Reinsurance - Income,-1209.0,-1250.0,-1166.0,-1331.0,-1629.0,,,Income Statement
Total Premiums Earned,6601.0,6823.0,6773.0,6863.0,7136.0,,,Income Statement
Net Investment Income,513.0,564.0,576.0,674.0,646.0,,,Income Statement
Realized Gains (Losses),126.0,285.0,336.0,160.0,121.0,,,Income Statement
Total Revenue,7240.0,7672.0,7685.0,7697.0,7902.0,,,Income Statement
"Losses, Benies & Adjusts",3656.0,3846.0,4002.0,3975.0,4131.0,,,Income Statement
Underwriting & Commissions,2005.0,2089.0,2101.0,2099.0,2090.0,,,Income Statement
"Losses,Benies& Adjmts,Total",5662.0,5935.0,6103.0,6074.0,6221.0,,,Income Statement
"Sell/Gen/AdminExpenses,Tot",127.0,139.0,130.0,118.0,145.0,,,Income Statement
Unusual Expense (Income),33.0,18.0,0.0,6.0,0.0,,,Income Statement
"Other Operat Expse, Total",554.0,555.0,516.0,557.0,560.0,,,Income Statement
Total Operating Expense,6376.0,6647.0,6749.0,6755.0,6927.0,,,Income Statement
Total Operating Income,863.0,1025.0,935.0,942.0,976.0,,,Income Statement
"Inter Expse,Net Non-Operat",-131.0,-141.0,-147.0,-157.0,-153.0,,,Income Statement
"Inter/Invest Inc, Non-Oper",0.0,12.0,-15.0,27.0,31.0,,,Income Statement
Income Before Tax,732.0,896.0,773.0,812.0,853.0,,,Income Statement
Income Tax - Total,228.0,293.0,240.0,185.0,169.0,,,Income Statement
Income After Tax,504.0,603.0,533.0,627.0,684.0,,,Income Statement
Minority Interest,0.0,-2.0,-4.0,-8.0,-2.0,,,Income Statement
Net Inc Before Extra Items,504.0,602.0,528.0,619.0,682.0,,,Income Statement
Total Extraordinary Items,,,21.0,22.0,,,,Income Statement
Total Net Income,504.0,602.0,549.0,641.0,682.0,,,Income Statement
Income Available to Common Excl. Extra. Items,504.0,602.0,528.0,619.0,682.0,,,Income Statement
Income Available to Common Incl. Extra. Items,504.0,602.0,549.0,641.0,682.0,,,Income Statement
Basic/Primary Weighted Average Shares,186.0,184.0,187.0,190.0,191.0,,,Income Statement
Basic/Primary EPS Excl. Extra. Items,2.71,3.27,2.82,3.26,3.58,,,Income Statement
Basic/Primary EPS Incl. Extra. Items,2.71,3.27,2.93,3.37,3.58,,,Income Statement
Diluted Weighted Average Shares,195.0,193.0,194.0,192.0,194.0,,,Income Statement
Diluted EPS Excl. Extra. Items,2.58,3.12,2.73,3.22,3.52,,,Income Statement
Diluted EPS Incl. Extra. Items,2.58,3.12,2.84,3.33,3.52,,,Income Statement
Div/Share-ComStockPrimIssue,0.23,0.42,0.37,0.39,0.43,,,Income Statement
Gross Divid - Common Stock,58.0,184.0,188.0,255.0,230.0,,,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",131.0,141.0,147.0,157.0,153.0,,,Income Statement
"Depreciat/Amort, Suppl",85.0,86.0,113.0,131.0,101.0,,,Income Statement
Total Special Items,33.0,18.0,0.0,6.0,0.0,,,Income Statement
Normalzd Income Before Tax,765.0,915.0,773.0,818.0,853.0,,,Income Statement
Efct/SpecItemsIncTxs (STEC),10.0,6.0,0.0,1.0,0.0,,,Income Statement
IncTxsExcl ImpctofSpec Itms,238.0,299.0,240.0,186.0,169.0,,,Income Statement
Normalized Income After Tax,527.0,616.0,533.0,632.0,684.0,,,Income Statement
Normalzd Inc Avail to Common,527.0,614.0,528.0,623.0,682.0,,,Income Statement
Basic Normalized EPS,2.83,3.34,2.82,3.28,3.58,,,Income Statement
Diluted Normalized EPS,2.7,3.18,2.73,3.24,3.52,,,Income Statement
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,,Cash Flow
Net Income,504.0,602.0,549.0,641.0,682.0,,,Cash Flow
Depreciation/Depletion,85.0,86.0,113.0,131.0,113.0,,,Cash Flow
Deferred Taxes,47.0,9.0,-17.0,-75.0,7.0,,,Cash Flow
Equity in Net Earnings/Loss,-62.0,-99.0,-69.0,-109.0,-69.0,,,Cash Flow
Other Non-Cash Items,33.0,39.0,45.0,45.0,51.0,,,Cash Flow
Non-Cash Items,-30.0,-61.0,-25.0,-64.0,-18.0,,,Cash Flow
"Cash Taxes Pd, Supplemental",165.0,232.0,207.0,186.0,125.0,,,Cash Flow
"Cash Interest Pd, Suppl",130.0,137.0,145.0,155.0,160.0,,,Cash Flow
Changes in Working Capital,275.0,212.0,90.0,-12.0,359.0,,,Cash Flow
Total Cash from Operations,881.0,848.0,711.0,620.0,1144.0,,,Cash Flow
Capital Expenditures,-286.0,-350.0,-352.0,-564.0,-207.0,,,Cash Flow
Acquisition of Business,-7.0,-53.0,-71.0,-7.0,0.0,,,Cash Flow
Sale of Business,0.0,250.0,0.0,9.0,0.0,,,Cash Flow
Sale of Fixed Assets,0.0,0.0,,,,,,Cash Flow
Sale/Maturity of Investment,4404.0,4773.0,7787.0,6700.0,5107.0,,,Cash Flow
"Investment, Net",177.0,143.0,247.0,-80.0,195.0,,,Cash Flow
Purchase of Investments,-4485.0,-5744.0,-7968.0,-6763.0,-5526.0,,,Cash Flow
Other Investing Cash Flow,26.0,187.0,23.0,-9.0,6.0,,,Cash Flow
"OtherInvestCashFlowItms,Tot",115.0,-445.0,18.0,-150.0,-218.0,,,Cash Flow
Total Cash from Investing,-171.0,-794.0,-333.0,-714.0,-425.0,,,Cash Flow
Financing Cash Flow Items,-2.0,-4.0,-6.0,-18.0,-21.0,,,Cash Flow
Total Cash Dividends Paid,-58.0,-184.0,-188.0,-255.0,-308.0,,,Cash Flow
"Common Stock, Net",-224.0,-132.0,-48.0,-25.0,-18.0,,,Cash Flow
Options Exercised,0.0,,,,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",-224.0,-132.0,-48.0,-25.0,-18.0,,,Cash Flow
Long Term Debt Issued,9.0,389.0,7.0,295.0,291.0,,,Cash Flow
Long Term Debt Reduction,-281.0,-75.0,0.0,-5.0,-456.0,,,Cash Flow
"Iss (Retirmnt) of Debt, Net",-272.0,313.0,7.0,290.0,-165.0,,,Cash Flow
Total Cash From Financing,-555.0,-7.0,-235.0,-7.0,-513.0,,,Cash Flow
Foreign Exchange Effects,-66.0,-15.0,13.0,-31.0,0.0,,,Cash Flow
Net Change in Cash,89.0,32.0,155.0,-133.0,206.0,,,Cash Flow
NetCash-BeginBal/RsvdforFutUse,674.0,764.0,795.0,950.0,818.0,,,Cash Flow
NetCash-EndBal/RsrvforFutUse,764.0,795.0,950.0,818.0,1024.0,,,Cash Flow
"Depreciation, Supplemental",85.0,86.0,113.0,131.0,113.0,,,Cash Flow
Free Cash Flow,595.0,498.0,359.0,56.0,937.0,,,
FCF Growth,,-0.1630252100840336,-0.27911646586345384,-0.8440111420612814,15.732142857142858,0.0,0.0,
